Brewery,Location,Est. Year
 Golden Road Brewing (AB InBev),Los Angeles,2011
 Golden State Brewery,Santa Clara,2015
 Good Microbrew & Grill,Los Angeles,2009
 Gordon Biersch Brewing Company (Craftworks),San Jose,1988
 Graffiti Restaurant,Petaluma,2006
 Grass Valley Brewing Company,Grass Valley,2018
 Grav South,Cotati,2016
 Green Cheek Beer Company,Orange ,2017
 Green Flash Brewing Company,San Diego,2002
 Green River Brewing,Winters,2017
 Grillin & Chillin Ale House,Hollister,2015
 Groundswell Brewing Company,San Diego,2013
 Guadalupe Brewery (CA),Carlsbad,2015
 Gunwhale Ales,Costa Mesa,2016
 H2OPS Sparkling Hop Water,Anaheim,2014
 Half Door Brewing,San Diego,2015
 Half Moon Bay Brewing Company,Half Moon Bay,2000
 Hamilton Family Brewery,Rancho Cucamonga,2014
 Hand Brewed Beer,Chatsworth,2015
 Handles Gastropub,Pleasanton,2011
 Hangar 24 Craft Brewing,Redlands,2008
 Hapa's Brewing Company,San Jose,2017
 Hard Frescos Brewing Company,San Francisco,2017
 Harmonic Brewing,San Francisco,2015
 Headlands Brewing Company,San Francisco,2013
 Healdsburg Beer Company,Healdsburg,2010
 Helix Brewing Company,La Mesa,2016
 Helm's Brewing Company,San Diego,2012
 HenHouse Brewing Company,Santa Rosa,2012
 Heretic Brewing Company,Fairfield,2011
 Hermitage Brewing Company,San Jose,2009
 Heroes Restaurant & Brewery,Riverside,2013
 High Water Brewing,Chico,2011
 Highland Park Brewery,Los Angeles,2014
 Highway 1 Brewing Company,Pescadero,2013
 Hillcrest Brewing Company,San Diego,2012
 Hillenbrand Farmhaus Brewery,Newcastle,2017
 Hoi Polloi Brewing,Berkeley,2014
 Hollister Brewing Company,Goleta,2007
 Holy Craft Brewing Company,San Francisco,2015
 Homage Brewing,Pomona,2016
 Home Brewing Company,San Diego,2015
 Honey Wagon Brewing,Tehachapi,2014
 Hoover's 101 Cafe,Atascadero,2010
 Hop Dogma Brewing Company,El Granada,2013
 Hop Secret Brewing Company,Monrovia,2018
 Hoparazzi Brewing Company,Anaheim,2016
 HopMonk,Sebastopol,2008
 Hoppy Brewing Company,Sacramento,1991
 HopSaint Brewing Company,Torrance,2015
 Hopyard,San Ramon,2009
 Horus Aged Ales,Oceanside,2015
 House Brewing,Venice Beach,2018
 House Brewing Company,Venice Beach,2014
 House of Pendragon Brewing Company,Sanger,2013
 Humble Farmer Brewing,Holtville,2016
 Humble Sea Brewing Company,Santa Cruz,2016
 Humboldt Regeneration Brewhouse,McKinleyville,2013
 Huntington Beach Beer Company,Huntington Beach,1996
 I & I Brewing,Chino,2012
 Inc 82 Brewing,Dublin,2017
 Independent Brewing Company,Oakland,2014
 Indian Joe Brewing,Vista,2012
 Indian Wells Brewing,Inyokern ,1995
 Indie Brewing Company,Los Angeles,2016
 Inland Empire Brewing,Riverside,2009
 Inland Wharf Brewing Company,Murrieta,2017
 Innovation Brew Works,Pomona,2014
 Institution Ale Company,Camarillo,2013
 Iron Fist Brewing Company,Vista,2010
 Iron Springs Pub and Brewery,Fairfax,2005
 Iron Triangle,Los Angeles,2016
 Ironfire Brewing Company,Temecula,2012
 Island Brewing,Carpinteria,2001
 Jack Russell Farm Brewery,Camino,1999
 Jacked Up Brewery,Escondido,2017
 Jackrabbit Brewing Company,West Sacramento,2013
 Jacks Brewing Company,Fremont,2001
 Jamul Brewing Company,Jamul,2015
 JP DasBrew,Fremont,2012
 JT Schmids Brewhouse & Eatery,Anaheim,2002
 Junction Brewery & Grill,American Canyon,2016
 June Lake Brewing,June Lake,2014
 Jupiter,Berkeley,2001
 Karl Strauss Brewing Company,San Diego,1989
 Kathrin's Biergarten,Rocklin,2018
 Kaweah Brewing Company,Tulare,2014
 Kelsey Creek Brewing Company,Kelseyville,2013
 Kensington Brewing Company (CA),San Diego,2014
 Kern River Brewing,Kernville ,2006
 Kilowatt Brewing,San Diego,2015
 Kinetic Brewing Company,Lancaster,2011
 King Harbor Brewing Company,Redondo Beach,2014
 Kings Brewing Company,Rancho Cucamonga,2016
 Knee Deep Brewing Company,Auburn,2010
 Knotty Brewing,San Diego,2016
 K-Oz Restaurant & Brewery,San Francisco,2018
 La Quinta Brewing Company,La Quinta,2013
 La Verne Brewing Company,La Verne,2013
 Ladyface Ale Companie,Agoura Hills,2009
 Laguna Beach Beer Company,Laguna Beach,2014
 Laguna Beach Brewery & Grille,Laguna Beach,2016
 Lagunitas Brewing Company (Heineken),Petaluma,1994
 Lake Tahoe AleworX,South Lake Tahoe,2017
 Lassen Ale Works,Susanville,2013
 Last Name Brewing,Upland,2007
 Latchkey Brewing,San Diego,2018
 Latitude 33 Brewing Company,Vista,2011
 Laughing Monk Brewing,San Francisco,2016
 Lazy Daze Brewery,Roseville,2008
 Lazy Duck Brewing Company,San Jose,2018
 Leashless Brewing,Ventura,2017
 Left Coast Brewing Company,San Clemente,2004
 Legacy Brewing Company,Oceanside,2013
 Legends Craft Brewery,Anaheim,2014
 Lengthwise Brewery,Bakersfield,1999
 Leucadia Brewing Company,Leucadia ,2016
 Liberation Brewing Company,Long Beach,2018
 Libertine Brewing Company,Morro Bay,2013
 Lightning Brewery,Poway,2006
 Lincoln Beer Company,Burbank,2016
 Line 51 Brewing,Oakland,2012
 Little Miss Brewing,San Diego,2016
 Little Tree Brewing,Grover Beach,2016
 Local Brewing Company,San Francisco,2011
 Local Craft Beer,Tehachapi ,2018
 Lockdown Brewing Company,Folsom,2005
 Lodi Beer Company,Lodi,2007
 Loma Brewing Company,Los Gatos,2016
 Long Beach Beer Lab,Long Beach,2017
 Longship Brewery,San Diego,2016
 Loomis Basin Brewing Company,Loomis,2011
 Los Angeles Ale Works,Hawthorne,2014
 Lost Coast Brewery & Cafe,Eureka,2000
 Lost Winds Brewing Company,San Clemente,2016
 LouEddies Pizza,Skyforest,2015
 Lucky Devil Brewing Company,Oakland,2013
 Lucky Hand Brewing Company,Novato,2010
 Lucky Luke Brewing,Palmdale,2015
 M Special Brew Company,Goleta,2015
 MacLeod Ale Brewing Company,Van Nuys,2014
 Mad Duck Craft Brewery,Fresno,2016
 Mad Fritz Brewing Company,Saint Helena,2014
 Mad River Brewery,Blue Lake,1989
 Madewest Brewing,Ventura,2016
 Magnolia Pub and Brewery,San Francisco,1999
" Main Street Brewery (Corona, CA)",Corona,1997
 Mammoth Brewing Company,Mammoth Lakes,1996
 ManRock Brewing Company,Grover Beach,2012
 Mare Island Brewing Company,Vallejo,2014
 Marin Brewing Company,Larkspur,1989
 Mason Ale Works,Oceanside,2016
 Mason Jar Brewing Company,Menifee,2015
 MateVeza Brewing Company,San Francisco,2010
 Mendocino Brewing Company (United Breweries Group),Ukiah,1983
 Midnight Jack Brewing Company,Oceanside,2016
 Mike Hess Brewing Company,San Diego,2010
 Mikkeller San Diego,San Diego,2016
 Mill Valley Beerworks,Mill Valley,2012
 Miners Alley Brewing Company,Oroville,2015
 Mission Brewery,San Diego,2007
 Modern Times Beer,San Diego,2013
 Moksa Brewing Company,Rocklin,2018
 Monkish Brewing Company,Torrance,2012
 Monks Cellar Brewery & Public House,Roseville,2014
 Monterey Bay Brewing Company,Carmel,2018
 Monterey Coast Brewing Restaurant & Brewery,Salinas,2004
 Moonlight Brewing Company (Heineken),Santa Rosa,2001
 Moonraker Brewing Company,Auburn,2016
 Morgan Territory Brewing,Tracy,2015
 Mother Earth Brew Company,Vista,2010
 Mount St. Helena Brewing Company,Middletown,1996
 Mountain Rambler Brewery,Bishop,2014
 Moylans Brewery & Restaurant,Novato,1993
 Mraz Brewing Company,El Dorado Hills,2013
 Mt. Shasta Brewing Company,Weed,2004
 Mumford Brewing,Los Angeles,2015
 Mutt & Jess Bakery - Deli - Brewery,Cobb,2015
 Nakhon Brewing Company,Los Angeles,2010
 Napa Palisades,Napa,2016
 Napa Smith Brewery,Vallejo,2017
 Napa Valley Brewing / Calistoga Inn,Calistoga,2002
 Naughty Oak Brewing Company,Orcutt,2016
 Network Brewery,Santa Ana,2016
 New Agorist Beer Company,Anaheim,2018
 New Bohemia Brewing Company,Santa Cruz,2015
 New English Brewing,San Diego,2007
 New Glory Craft Brewery,Sacramento,2013
 New Helvetia Brewing Company,Sacramento ,2013
 New World Ales,Saratoga,2016
 Newport Beach Brewing Company,Newport Beach,1999
 Nickel Beer Company,Julian,2014
 Night Lizard,Santa Barbara ,2018
 No Clue Craft Brewery,Rancho Cucamonga,2014
 Noble Ale Works,Anaheim,2009
 Noble Brewer,Oakland,2015
 North Coast Brewing Company,Fort Bragg,1987
 North Park Beer Company,San Diego,2016
 Novel Brewing,Oakland,2016
 Novo Brazil Brewing Company,Chula Vista,2015
 Oak Hills Brewing Company,Hesperia,2013
 Oakland Brewing Company,Oakland,2009
 Oakland United Beerworks,Oakland,2008
 OB Brewery,San Diego,2016
 Ocean View Brew Works,Albany,2018
 Oceanside Ale Works,Oceanside,2006
 Odonata Beer Company,Sacramento,2009
 Off the Grid Brewing Company,Apple Valley,2012
 Oggis Pizza and Brewing Company,San Clemente,1999
 Ogopogo Brewing,San Gabriel,2018
 Ohana Brewing Company,Los Angeles,2012
 Ojai Valley Brewery,Ojai,2017
 Ol' Republic Brewery,Nevada City,2011
 Old Bus Tavern,San Francisco,2015
 Old Hangtown Beer Works,Rancho Cordova,2012
 Old Kan Beer and Company,Oakland,2017
 Old Orange Brewing Company,Orange,2011
 Old Redwood Brewing Company,Windsor,2012
 Old Stump Brewery,Pomona,2015
