Brewery,Location,Est. Year
 Pumphouse Brewery and Restaurant,Longmont,1996
 Purpose Brewing and Cellars,Fort Collins,2014
 Rails End Beer Company,Broomfield,2016
 Rally King Brewing,Fort Collins,2015
 Ratio Beerworks,Denver,2015
 Red Leg Brewing,Colorado Springs,2013
 Renegade Brewing Company,Denver,2011
 Resolute Brewing Company,Centennial,2016
 Revolution Brewing,Paonia,2009
 Riff Raff Brewing Company,Pagosa Springs,2014
 River North Brewery,Denver,2012
 Roaring Fork Beer Company,Carbondale,2014
 Rock Bottom Colorado Springs,Colorado Springs,2006
 Rock Bottom Denver,Denver,2004
 Rock Bottom Loveland,Loveland,2007
 Rock Bottom South Denver,Englewood,2004
 Rock Bottom Westminster,Westminster,2004
 Rock Bottom Westminster Orchard Town Center,Westminster,2009
 Rockcut Brewing Co,Estes Park,2015
 Rockslide Brew Pub,Grand Junction,2002
 Rocky Mountain Brewery,Colorado Springs,2008
 Rocky Mountain Taphouse,Greeley,2018
 Rockyard Brewing Company,Castle Rock,2000
 Royal Gorge Brewing Company,Canon City,2014
 Rustica Brewing Company,Denver,2017
 Saint Patrick's Brewing Company,Littleton,2012
 San Luis Valley Brewing Company,Alamosa,2006
 Sandlot Brewery (Molson Coors),Denver,2002
 Sanitas Brewing Company,Boulder,2013
 Seedstock Brewery,Denver,2016
 Shamrock Brewing Co.,Pueblo,2005
 Shine Brewing Co.,Boulder,2012
 Shoes and Brews,Longmont,2015
 SKA Brewing,Durango,1995
 Sleeping Giant Brewing Company,Denver,2014
 Smiling Toad Brewery,Colorado Springs,2014
 Smuggler's Brew Pub,Telluride,1999
 Snowbank Brewing,Fort Collins,2014
 Some Place Else Brewery,Arvada,2016
 Something Brewery,Brighton,2016
 Soul Squared Brewing Company,Fort Collins,2015
 Soulcraft Brewing,Salida,2016
 South Park Brewing,Fairplay,2015
 Spangalang Brewery,Denver,2015
 Spice Trade Brewing,Arvada,2009
 Square Peg Brewerks,Alamosa,2017
 Station 26 Brewing Company,Denver,2013
 Steamworks Brewing Company (US),Durango,2000
 Storm Peak Brewing Company,Steamboat Springs,2014
 Storybook Brewing,Colorado Springs,2014
 Strange Craft Beer Company,Denver,2010
 Telluride Brewing Company,Telluride,2012
 The Bakers' Brewery,Silverthorne,2015
